movie_id,title,rating,year,genres
1306505,红高粱,8.5,1988.0,"剧情, 爱情, 历史, 战争"
4135710,Hello！树先生,8.3,2011.0,剧情
25890005,山河故人,8.1,2015.0,"剧情, 家庭"
3412830,狄仁杰之通天帝国,6.7,2010.0,"动作, 悬疑, 古装"
27140071,找到你,7.3,2018.0,"剧情, 家庭"
25723583,英伦对决,7.0,2017.0,"动作, 犯罪"
1299643,宝莲灯,8.6,1999.0,"动画, 奇幻, 冒险"
25890017,哥斯拉2：怪兽之王,6.2,2019.0,"动作, 科幻, 冒险, 灾难"
1401533,碟中谍3,7.7,2006.0,"动作, 惊悚, 冒险"
25911694,摆渡人,4.1,2016.0,"喜剧, 爱情"
6126442,一步之遥,6.7,2014.0,"剧情, 喜剧, 动作"
5977835,桃姐,8.4,2012.0,"剧情, 家庭"
11625097,澳门风云,5.8,2014.0,"喜剧, 动作"
1766086,太阳照常升起,8.4,2007.0,"剧情, 奇幻"
35256092,河边的错误,7.2,2023.0,"剧情, 犯罪"
36809864,南京照相馆,8.8,2025.0,"剧情, 历史, 战争"
25858785,澳门风云2,5.6,2015.0,"喜剧, 动作"
27668250,南方车站的聚会,7.4,2019.0,"剧情, 犯罪"
33447633,坚如磐石,6.0,2023.0,"剧情, 动作, 犯罪"
26698000,心理罪,4.9,2017.0,"动作, 悬疑, 犯罪"
26336253,使徒行者,6.9,2016.0,"剧情, 动作, 犯罪"
27019527,嘉年华,8.2,2017.0,剧情
1299288,胭脂扣,8.5,1987.0,"剧情, 爱情, 奇幻"
26797419,二代妖精之今生有幸,5.4,2017.0,"喜剧, 爱情, 奇幻"
30423193,使徒行者2：谍影行动,6.2,2019.0,"剧情, 动作, 犯罪"
4881607,撒娇女人最好命,5.6,2014.0,"喜剧, 爱情"
26966580,妖铃铃,4.2,2017.0,"喜剧, 惊悚"
1308076,蓝宇,8.4,2001.0,"剧情, 爱情, 同性"
4724739,单身男女,6.8,2011.0,"喜剧, 爱情"
1907464,集结号,8.2,2007.0,"剧情, 传记, 历史, 战争"
1394968,举起手来！,7.4,2005.0,"喜剧, 战争"
25829175,西游记女儿国,4.4,2018.0,"喜剧, 爱情, 奇幻"
35087699,中国医生,6.9,2021.0,"剧情, 灾难"
30299311,受益人,6.5,2019.0,"剧情, 喜剧, 爱情"
10763164,扫毒,7.6,2013.0,"剧情, 动作, 悬疑, 犯罪"
27624661,比悲伤更悲伤的故事,4.8,2019.0,爱情
36438475,浪浪山小妖怪,8.5,2025.0,"剧情, 喜剧, 动画, 奇幻"
24735062,青春派,7.4,2013.0,"剧情, 爱情"
24827406,九层妖塔,4.4,2015.0,"动作, 惊悚, 冒险"
26259634,何以笙箫默,3.9,2015.0,爱情
36587974,出走的决心,8.8,2024.0,"剧情, 家庭"
26301582,微微一笑很倾城,4.9,2016.0,爱情
27202819,反贪风暴4,5.9,2019.0,"动作, 犯罪"
3737102,艋舺,7.7,2010.0,"剧情, 动作, 犯罪"
26639958,春娇救志明,7.0,2017.0,"剧情, 喜剧, 爱情"
1300566,赌侠,7.9,1990.0,"剧情, 喜剧"
36185502,长安的荔枝,7.6,2025.0,"剧情, 喜剧, 古装"
11598977,叶问3,6.7,2016.0,"剧情, 动作, 传记, 历史"
1296201,逃学威龙2,7.9,1992.0,喜剧
1298644,赌圣,7.9,1990.0,"喜剧, 动作"
2027938,神探,8.5,2008.0,"动作, 悬疑, 惊悚, 犯罪"
35360684,新神榜：杨戬,7.0,2022.0,"动作, 动画, 奇幻, 冒险"
30181250,封神第二部：战火西岐,5.8,2025.0,"动作, 战争, 奇幻, 古装"
1947089,投名状,7.9,2007.0,"剧情, 动作, 战争, 古装"
26290642,致青春·原来你还在这里,4.4,2016.0,"剧情, 爱情"
26996640,反贪风暴3,5.7,2018.0,"剧情, 动作, 犯罪"
30373723,除暴,6.1,2020.0,"剧情, 动作, 犯罪"
1433360,雏菊,8.1,2006.0,"剧情, 爱情"
24879839,道士下山,5.5,2015.0,"喜剧, 动作, 奇幻, 古装"
30146756,风语咒,6.8,2018.0,"动画, 奇幻"
36712987,破·地狱,8.3,2024.0,"剧情, 家庭"
5996801,狄仁杰之神都龙王,6.5,2013.0,"动作, 悬疑, 古装"
5422105,窃听风云2,7.6,2011.0,"剧情, 动作, 悬疑, 犯罪"
26581837,上海堡垒,2.9,2019.0,"爱情, 科幻, 战争"
26266072,谍影重重5,7.5,2016.0,"动作, 悬疑, 惊悚"
4066206,全城热恋,6.3,2010.0,"喜剧, 爱情"
1305355,审死官,7.9,1992.0,"喜剧, 古装"
26879060,情圣,6.0,2016.0,喜剧
35956190,走走停停,8.0,2024.0,"剧情, 喜剧, 家庭"
26611801,一念天堂,6.2,2015.0,喜剧
30235440,小小的愿望,5.0,2019.0,"剧情, 喜剧"
26995893,神探大战,6.7,2022.0,"动作, 悬疑, 犯罪"
1305265,河东狮吼,6.8,2002.0,"喜剧, 爱情, 古装"
34869362,温暖的抱抱,5.2,2020.0,喜剧
25881786,前任2：备胎反击战,5.2,2015.0,"喜剧, 爱情"
1418070,如果·爱,7.7,2005.0,"剧情, 爱情, 歌舞"
3158990,海角七号,7.6,2009.0,"剧情, 喜剧, 爱情"
1299765,回魂夜,8.1,1995.0,"喜剧, 恐怖, 奇幻"
24751754,前任攻略,6.1,2014.0,"喜剧, 爱情"
5319835,101次求婚,5.7,2013.0,爱情
1306951,鹿鼎记2：神龙教,8.2,1992.0,"喜剧, 动作, 武侠, 古装"
4176542,杀生,7.8,2012.0,"剧情, 悬疑"
30257787,一秒钟,7.6,2020.0,剧情
1298898,暗战,8.6,1999.0,"剧情, 动作, 犯罪"
4136036,晚秋,7.1,2012.0,剧情
35209731,长空之王,6.5,2023.0,"剧情, 动作"
1308747,手机,7.4,2003.0,"剧情, 喜剧, 家庭"
24736566,北京爱情故事,6.1,2014.0,爱情
1939414,功夫之王,5.8,2008.0,"动作, 奇幻, 冒险, 武侠, 古装"
26290367,谁的青春不迷茫,6.7,2016.0,爱情
1296436,有话好好说,8.5,1997.0,"剧情, 喜剧"
26266919,最好的我们,5.1,2019.0,"剧情, 爱情"
23788440,杀破狼2,7.5,2015.0,"剧情, 动作, 犯罪"
25818101,攻壳机动队,6.4,2017.0,"动作, 科幻, 犯罪"
35158124,盛夏未来,7.1,2021.0,剧情
26389696,大闹天竺,3.7,2017.0,"喜剧, 动作, 冒险"
1299661,苏州河,8.2,2000.0,"剧情, 爱情"
24284175,九龙城寨之围城,7.2,2024.0,"动作, 犯罪"
25849006,陆垚知马俐,5.6,2016.0,"喜剧, 爱情"
1291555,2046,7.7,2004.0,"剧情, 爱情, 奇幻"
