movie_id,title
1297192,致命ID
1291572,指环王2：双塔奇兵
1432146,钢铁侠
26799731,请以你的名字呼唤我
1300267,乱世佳人
1291579,怪兽电力公司
26628357,一个叫欧维的男人决定去死
30391186,蜘蛛侠：纵横宇宙
25864085,火星救援
1300299,杀人回忆
27622447,小偷家族
35712804,首尔之春
26325320,血战钢锯岭
1866479,复仇者联盟
1299131,教父2
1780330,致命魔术
26258779,银河护卫队3
1959877,崖上的波妞
3008247,穿条纹睡衣的男孩
26611804,三块广告牌
35633650,坠落的审判
25977027,小姐
1482072,穿普拉达的女王
25773932,爆裂鼓手
1291578,冰川时代
1292215,天使爱美丽
35603727,猫猫的奇幻漂流
1291990,爱在日落黄昏时
1294408,音乐之声
25807345,彗星来的那一夜
24750126,荒蛮故事
26374197,蜘蛛侠：平行宇宙
3395373,蝙蝠侠：黑暗骑士崛起
3075287,源代码
1293359,菊次郎的夏天
35902857,完美的日子
5989818,萤火之森
1292849,拯救大兵瑞恩
10777687,7号房的礼物
1307811,魔女宅急便
5300054,波西米亚狂想曲
7065154,银河护卫队
1291580,杀死比尔
1293182,十二怒汉
34940879,年少日记
1858711,玩具总动员3
6534248,无敌破坏王
1783457,功夫熊猫
1978709,黑天鹅
2997076,华尔街之狼
26259677,垫底辣妹
1309163,恋恋笔记本
1292274,幸福终点站
6307447,被解救的姜戈
35797709,怪物
4202302,借东西的小人阿莉埃蒂
6985810,狩猎
1418834,断背山
1787291,被嫌弃的松子的一生
2209573,贫民窟的百万富翁
1865703,红辣椒
36765646,蓦然回首
6390823,美国队长2
10808442,爱在午夜降临前
1291828,天堂电影院
37067150,关于约会的一切
1950148,赎罪
1293350,两杆大烟枪
1294240,教父3
1309101,查理和巧克力工厂
10463953,模仿游戏
10437779,新世界
1438652,无耻混蛋
1292224,飞越疯人院
26607693,敦刻尔克
30318116,利刃出鞘
35861791,初步举证
21937445,辩护人
4268598,告白
1293088,小鬼当家
1297630,第六感
1417598,电锯惊魂
10512661,银翼杀手2049
27024903,天才枪手
1292262,美国往事
1291575,玩具总动员
2149806,入殓师
1395091,未麻的部屋
21360417,恐怖直播
1291545,大鱼
1292225,闪灵
1900841,窃听风暴
1292401,真爱至上
1793491,美食总动员
1291992,末路狂花
1308779,后天
1304447,记忆碎片
4915857,神偷奶爸2
3592854,疯狂的麦克斯4：狂暴之路
26393561,小萝莉的猴神大叔
1302827,人工智能
25895901,海街日记
25929151,遇见你之前
24405378,王牌特工：特工学院
1304102,谍影重重
1297052,侧耳倾听
1315574,加勒比海盗2：亡灵的宝藏
36894170,初吻
1292217,穆赫兰道
1959195,忠犬八公物语
1303021,小鞋子
3005875,2012
1794171,变形金刚
25814705,小森林 夏秋篇
1300374,绿里奇迹
1302467,黑客帝国3：矩阵革命
1304141,黑客帝国2：重装上阵
1309069,蝙蝠侠：侠影之谜
20645098,小王子
1306809,生化危机
3804629,招魂
1291585,风之谷
30257175,燃烧女子的肖像
1292226,2001太空漫游
1793929,达拉斯买家俱乐部
25814707,小森林 冬春篇
26842702,燃烧
1298038,诺丁山
1966182,霍比特人1：意外之旅
4917726,阳光姐妹淘
1294639,勇敢的心
1461403,茶馆
1306861,我是山姆
6722879,她
26761416,至暗时刻
1306664,共同警备区
35284253,青春变形记
1294371,摩登时代
2973079,霍比特人3：五军之战
1422283,高山下的花环
1300992,完美的世界
2043546,秒速5厘米
1418192,加勒比海盗3：世界的尽头
3233635,功夫熊猫2
1306612,蜘蛛侠
1578507,谍影重重3
1428175,血钻
1300117,千钧一发
4824512,驯龙高手2
1945780,血色将至
1291838,红猪
4023638,国王的演讲
1291586,海底总动员
3042261,西线无战事
3011308,孤儿怨
1760622,香水
1293861,油炸绿番茄
1291574,玩具总动员2
20438964,无敌破坏王2：大闹互联网
1291870,雨人
35611467,老狐狸
3006772,第九区
1295045,天才瑞普利
35736202,狗神
1857099,老无所依
36689857,荒野机器人
6850547,玩具总动员4
1291936,攻壳机动队
26615208,隐藏人物
3269068,精灵旅社
1308767,谍影重重2
1310177,东京教父
30466931,波斯语课
11606328,霍比特人2：史矛革之战
6791750,起风了
3789848,怪兽大学
3068206,碟中谍4
1291822,卢旺达饭店
1293181,惊魂记
25787888,八恶人
1419936,战争之王
1291844,终结者2：审判日
10485647,X战警：逆转未来
1292337,无人知晓
1292348,洛城机密
1945330,迷雾
10594965,实习生
3072124,玛丽和麦克斯
2222996,步履不停
4746257,明日边缘
1305666,时时刻刻
26614893,完美陌生人
1293929,廊桥遗梦
26419637,误杀瞒天记
1293318,萤火虫之墓
1418752,万能钥匙
33432655,困在时间里的父亲
3796613,与玛格丽特的午后
1291584,杀死比尔2
4848115,你看起来好像很好吃
1292484,碟中谍
1291879,罗生门
1863766,魔发奇缘
6874403,再次出发之纽约遇见你
1292523,侏罗纪公园
25724855,房间
1300868,异形
25765735,金刚狼3：殊死一战
26683421,特工
4286017,速度与激情5
27615441,网络谜踪
6538866,极速车王
2286642,名侦探柯南：贝克街的亡灵
1293460,雨中曲
1297880,芙蓉镇
3274505,猩球崛起
5294851,控方证人
1292233,发条橙
35076714,扎克·施奈德版正义联盟
1308752,生化危机2：启示录
1309021,康斯坦丁
3552028,弱点
